íj,,,,,,,,àÆãuÇPíöñ⁄,àÆãuÇQíöñ⁄,è¨í|í¨ÇPíöñ⁄,è¨í|í¨ÇQíöñ⁄,âhí¨,âHëÚÇPíöñ⁄,âHëÚÇQíöñ⁄,âHëÚÇRíöñ⁄,ñLã è„ÇPíöñ⁄,ñLã è„ÇQíöñ⁄,ñLã íÜÇPíöñ⁄,ñLã íÜÇQíöñ⁄,ñLã íÜÇRíöñ⁄,ñLã íÜÇSíöñ⁄,ñLã ìÏÇPíöñ⁄,ñLã ìÏÇQíöñ⁄,ñLã ìÏÇRíöñ⁄,ñLã ñkÇPíöñ⁄,ñLã ñkÇQíöñ⁄,ñLã ñkÇRíöñ⁄,ñLã ñkÇSíöñ⁄,ñLã ñkÇTíöñ⁄,ñLã ñkÇUíöñ⁄,íÜë∫ÇPíöñ⁄,íÜë∫ÇQíöñ⁄,íÜë∫ÇRíöñ⁄,íÜë∫ìÏÇPíöñ⁄,íÜë∫ìÏÇQíöñ⁄,íÜë∫ìÏÇRíöñ⁄,íÜë∫ñkÇPíöñ⁄,íÜë∫ñkÇQíöñ⁄,íÜë∫ñkÇRíöñ⁄,íÜë∫ñkÇSíöñ⁄,ç˜ë‰ÇPíöñ⁄,ç˜ë‰ÇQíöñ⁄,ç˜ë‰ÇRíöñ⁄,ç˜ë‰ÇSíöñ⁄,ç˜ë‰ÇTíöñ⁄,ç˜ë‰ÇUíöñ⁄,ó˚înÇPíöñ⁄,ó˚înÇQíöñ⁄,ó˚înÇRíöñ⁄,ó˚înÇSíöñ⁄,å¸éRÇPíöñ⁄,å¸éRÇQíöñ⁄,å¸éRÇRíöñ⁄,å¸éRÇSíöñ⁄,ä—à‰ÇPíöñ⁄,ä—à‰ÇQíöñ⁄,ä—à‰ÇRíöñ⁄,ä—à‰ÇSíöñ⁄,ä—à‰ÇTíöñ⁄,ã—ÇPíöñ⁄,ã—ÇQíöñ⁄,ïXêÏë‰ÇPíöñ⁄,ïXêÏë‰ÇQíöñ⁄,ïXêÏë‰ÇRíöñ⁄,ïXêÏë‰ÇSíöñ⁄,ïΩòaë‰ÇPíöñ⁄,ïΩòaë‰ÇQíöñ⁄,ïΩòaë‰ÇRíöñ⁄,ïΩòaë‰ÇSíöñ⁄,ëÅã{ÇPíöñ⁄,ëÅã{ÇQíöñ⁄,ëÅã{ÇRíöñ⁄,ëÅã{ÇSíöñ⁄,ètì˙í¨ÇPíöñ⁄,ètì˙í¨ÇQíöñ⁄,ètì˙í¨ÇRíöñ⁄,ètì˙í¨ÇSíöñ⁄,ètì˙í¨ÇTíöñ⁄,ètì˙í¨ÇUíöñ⁄,çÇèºÇPíöñ⁄,çÇèºÇQíöñ⁄,çÇèºÇRíöñ⁄,çÇèºÇSíöñ⁄,çÇèºÇTíöñ⁄,çÇèºÇUíöñ⁄,ñkí¨ÇPíöñ⁄,ñkí¨ÇQíöñ⁄,ñkí¨ÇRíöñ⁄,ñkí¨ÇSíöñ⁄,ñkí¨ÇTíöñ⁄,ñkí¨ÇUíöñ⁄,ñkí¨ÇVíöñ⁄,ñkí¨ÇWíöñ⁄,ìcïøÇPíöñ⁄,ìcïøÇQíöñ⁄,ìcïøÇRíöñ⁄,ìcïøÇSíöñ⁄,ìcïøÇTíöñ⁄,åıÇ™ãuÇPíöñ⁄,åıÇ™ãuÇQíöñ⁄,åıÇ™ãuÇRíöñ⁄,åıÇ™ãuÇSíöñ⁄,åıÇ™ãuÇTíöñ⁄,åıÇ™ãuÇUíöñ⁄,åıÇ™ãuÇVíöñ⁄,àÆí¨ÇPíöñ⁄,àÆí¨ÇQíöñ⁄,àÆí¨ÇRíöñ⁄,ìyéxìcÇPíöñ⁄,ìyéxìcÇQíöñ⁄,ìyéxìcÇRíöñ⁄,ìyéxìcÇSíöñ⁄,ïxémå©ë‰ÇPíöñ⁄,ïxémå©ë‰ÇQíöñ⁄,ïxémå©ë‰ÇRíöñ⁄,ïxémå©ë‰ÇSíöñ⁄,ìÏìcíÜÇPíöñ⁄,ìÏìcíÜÇQíöñ⁄,ìÏìcíÜÇRíöñ⁄,ìÏìcíÜÇSíöñ⁄,ìÏìcíÜÇTíöñ⁄,çÇñÏë‰ÇPíöñ⁄,çÇñÏë‰ÇQíöñ⁄,çÇñÏë‰ÇRíöñ⁄,çÇñÏë‰ÇSíöñ⁄,çÇñÏë‰ÇTíöñ⁄,íJå¥ÇPíöñ⁄,íJå¥ÇQíöñ⁄,íJå¥ÇRíöñ⁄,íJå¥ÇSíöñ⁄,íJå¥ÇTíöñ⁄,íJå¥ÇUíöñ⁄,éOå¥ë‰ÇPíöñ⁄,éOå¥ë‰ÇQíöñ⁄,éOå¥ë‰ÇRíöñ⁄,êŒê_à‰í¨ÇPíöñ⁄,êŒê_à‰í¨ÇQíöñ⁄,êŒê_à‰í¨ÇRíöñ⁄,êŒê_à‰í¨ÇSíöñ⁄,êŒê_à‰í¨ÇTíöñ⁄,êŒê_à‰í¨ÇUíöñ⁄,êŒê_à‰í¨ÇVíöñ⁄,êŒê_à‰í¨ÇWíöñ⁄,êŒê_à‰ë‰ÇPíöñ⁄,êŒê_à‰ë‰ÇQíöñ⁄,êŒê_à‰ë‰ÇRíöñ⁄,êŒê_à‰ë‰ÇSíöñ⁄,êŒê_à‰ë‰ÇTíöñ⁄,êŒê_à‰ë‰ÇUíöñ⁄,êŒê_à‰ë‰ÇVíöñ⁄,êŒê_à‰ë‰ÇWíöñ⁄,â∫êŒê_à‰ÇPíöñ⁄,â∫êŒê_à‰ÇQíöñ⁄,â∫êŒê_à‰ÇRíöñ⁄,â∫êŒê_à‰ÇSíöñ⁄,â∫êŒê_à‰ÇTíöñ⁄,â∫êŒê_à‰ÇUíöñ⁄,ìåëÂêÚÇPíöñ⁄,ìåëÂêÚÇQíöñ⁄,ìåëÂêÚÇRíöñ⁄,ìåëÂêÚÇSíöñ⁄,ìåëÂêÚÇTíöñ⁄,ìåëÂêÚÇUíöñ⁄,ìåëÂêÚÇVíöñ⁄,êºëÂêÚÇPíöñ⁄,êºëÂêÚÇQíöñ⁄,êºëÂêÚÇRíöñ⁄,êºëÂêÚÇSíöñ⁄,êºëÂêÚÇTíöñ⁄,êºëÂêÚÇUíöñ⁄,ìÏëÂêÚÇPíöñ⁄,ìÏëÂêÚÇQíöñ⁄,ìÏëÂêÚÇRíöñ⁄,ìÏëÂêÚÇSíöñ⁄,ìÏëÂêÚÇTíöñ⁄,ìÏëÂêÚÇUíöñ⁄,ëÂêÚí¨ÇPíöñ⁄,ëÂêÚí¨ÇQíöñ⁄,ëÂêÚí¨ÇRíöñ⁄,ëÂêÚí¨ÇSíöñ⁄,ëÂêÚí¨ÇTíöñ⁄,ëÂêÚí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇPíöñ⁄,ëÂêÚäwâÄí¨ÇQíöñ⁄,ëÂêÚäwâÄí¨ÇRíöñ⁄,ëÂêÚäwâÄí¨ÇSíöñ⁄,ëÂêÚäwâÄí¨ÇTíöñ⁄,ëÂêÚäwâÄí¨ÇUíöñ⁄,ëÂêÚäwâÄí¨ÇVíöñ⁄,ëÂêÚäwâÄí¨ÇWíöñ⁄,ëÂêÚäwâÄí¨ÇXíöñ⁄,ä÷í¨ñkÇPíöñ⁄,ä÷í¨ñkÇQíöñ⁄,ä÷í¨ñkÇRíöñ⁄,ä÷í¨ñkÇSíöñ⁄,ä÷í¨ñkÇTíöñ⁄,ä÷í¨ìÏÇPíöñ⁄,ä÷í¨ìÏÇQíöñ⁄,ä÷í¨ìÏÇRíöñ⁄,ä÷í¨ìÏÇSíöñ⁄,è„êŒê_à‰ìÏí¨,óßñÏí¨,è„êŒê_à‰ÇPíöñ⁄,è„êŒê_à‰ÇQíöñ⁄,è„êŒê_à‰ÇRíöñ⁄,è„êŒê_à‰ÇSíöñ⁄,ä÷í¨ìåÇPíöñ⁄,ä÷í¨ìåÇQíöñ⁄,êºëÂêÚí¨
66,,31,12,-,,31,1,26,9,22,20,16,6,18,13,10,16,14,11,18,10,11,3,18,9,6,16,13,17,11,14,15,20,11,17,12,11,10,7,9,24,20,24,17,19,19,18,16,14,26,9,14,21,15,23,18,26,24,13,22,14,1,13,13,13,17,13,20,13,32,16,13,21,19,20,18,17,19,15,7,11,16,12,13,9,14,31,12,0,14,14,9,25,23,33,34,27,15,12,21,55,0,17,6,40,11,29,24,15,18,17,11,16,21,20,12,9,2,7,18,8,18,18,16,12,7,7,8,9,9,11,9,14,10,19,18,17,20,19,10,12,26,24,12,27,25,12,11,13,15,10,16,7,6,18,11,20,27,27,21,10,28,35,37,20,11,11,16,22,10,19,25,16,34,30,9,31,15,15,17,16,11,12,18,27,24,19,30,29,30,1,21,28,19,18,46,16,25,17,39,6,34,22,14,16,19,18,5,0
67,,30,12,-,,30,1,26,11,17,10,20,7,12,12,9,25,10,13,9,6,10,12,17,15,12,11,13,13,12,14,13,19,21,14,14,12,15,13,14,35,19,12,17,17,12,24,17,20,14,10,7,17,18,30,24,23,27,11,15,15,3,17,22,25,20,17,21,11,27,19,22,21,19,26,23,13,17,22,10,10,19,18,6,10,22,28,10,0,12,13,16,11,27,37,16,29,9,14,32,70,0,22,6,40,18,20,29,15,8,10,8,19,15,14,21,4,5,14,12,11,16,11,17,9,10,8,10,8,7,6,10,22,11,16,18,25,16,13,8,21,24,19,6,24,37,17,6,20,17,15,14,9,10,17,13,13,33,33,30,22,22,33,31,18,16,12,18,27,11,19,24,25,32,22,9,22,29,19,11,12,8,14,17,17,15,18,24,25,17,0,15,19,21,24,23,9,21,17,30,14,19,23,24,20,18,21,8,0
68,,29,12,-,,29,1,15,13,22,17,8,5,8,10,8,16,9,11,18,8,11,7,18,8,12,15,16,11,14,15,13,15,20,12,15,24,14,6,12,18,30,29,11,11,24,21,16,6,16,9,7,8,13,22,10,23,18,10,17,15,0,14,13,22,22,13,11,12,23,15,36,14,20,21,21,26,24,14,16,9,13,15,14,12,16,20,20,0,11,8,15,18,18,40,14,25,24,10,37,60,0,17,3,45,12,17,21,14,9,20,14,11,28,21,25,8,4,13,8,18,24,13,19,11,13,8,7,5,5,12,7,21,5,17,13,24,10,20,7,14,14,16,7,24,22,19,16,22,16,17,15,13,10,12,15,14,19,31,20,10,20,25,35,20,17,18,9,26,7,19,23,16,30,15,7,21,22,24,18,13,10,14,21,9,19,20,20,25,21,0,15,16,23,18,21,9,24,14,41,10,27,29,25,17,22,18,3,0
69,,28,12,-,,28,1,16,12,13,22,15,4,14,7,19,14,15,17,13,6,11,14,21,8,7,15,10,18,13,11,10,14,17,22,10,18,11,9,12,18,12,19,16,19,22,20,13,16,23,8,11,11,24,19,23,27,15,10,14,11,1,8,21,24,12,15,19,12,24,12,21,18,14,19,24,26,19,15,7,15,10,12,7,12,17,24,14,0,12,17,9,18,16,39,11,29,9,20,46,66,0,24,8,46,20,20,20,15,9,24,16,15,23,21,14,6,12,12,16,16,16,21,11,11,21,8,10,8,9,7,11,21,8,17,20,16,18,13,10,12,28,19,11,17,24,16,21,13,19,14,12,14,9,25,12,14,16,30,20,12,18,36,23,17,11,20,10,23,14,20,19,19,27,22,5,13,24,15,16,8,10,14,20,17,24,18,23,25,26,0,21,16,23,26,23,10,22,18,29,12,21,17,19,13,21,19,8,0
70,,27,12,-,,27,1,20,10,22,16,17,13,11,9,10,27,9,13,22,6,11,13,11,4,8,20,15,17,12,15,12,23,19,16,5,16,9,11,9,25,17,19,18,14,17,23,25,4,18,6,12,12,17,30,15,23,15,13,13,7,1,14,14,29,18,14,11,12,36,17,28,18,23,15,28,20,23,16,13,9,17,12,8,10,22,30,14,0,14,12,9,14,23,27,24,30,16,18,37,69,0,17,18,43,18,26,17,13,10,10,15,18,21,23,15,13,16,14,21,18,21,13,18,5,10,5,2,2,6,12,14,16,6,17,18,14,10,14,9,23,17,16,3,24,22,19,17,15,18,17,15,12,6,13,6,13,15,24,20,11,18,19,28,18,9,19,11,32,7,31,26,16,27,16,8,27,27,24,20,5,13,12,17,14,18,19,24,31,18,0,12,25,25,20,33,17,19,15,37,16,28,24,15,20,20,18,6,0
71,,26,12,-,,26,1,19,11,24,13,10,3,9,3,10,15,19,17,16,6,11,11,23,15,5,11,12,16,10,15,12,15,17,11,14,13,9,13,11,23,30,28,20,17,19,19,26,13,13,8,12,12,16,19,17,22,21,11,16,14,1,8,16,21,12,19,11,6,32,19,23,14,14,17,16,22,21,17,5,4,11,10,8,12,19,21,10,0,12,11,15,18,20,31,14,26,15,18,33,83,0,23,11,45,27,18,16,16,11,11,9,14,19,24,20,10,5,14,11,9,21,11,13,12,8,8,15,9,2,12,8,17,8,14,11,16,13,13,11,11,17,24,5,19,18,23,24,17,14,18,16,12,11,15,11,9,24,25,33,6,16,24,34,26,19,9,14,25,13,16,15,17,22,23,8,24,18,13,20,15,7,14,17,15,16,22,24,33,17,1,11,25,18,24,23,15,25,19,36,11,19,33,15,23,10,16,6,0
72,,25,12,-,,25,1,25,13,12,16,16,7,11,10,6,20,8,13,12,6,13,10,23,15,11,11,18,14,14,10,16,18,17,13,12,17,11,7,13,21,24,11,12,31,15,33,26,15,10,5,12,16,16,24,23,21,24,13,23,13,0,10,20,26,7,17,16,8,34,17,19,16,23,21,23,24,25,22,12,9,11,20,11,9,20,30,13,0,10,22,20,14,24,28,21,32,14,25,47,101,0,36,14,36,22,22,19,10,8,18,15,16,30,20,22,9,8,18,10,19,18,18,17,12,11,3,8,8,6,13,9,12,10,25,23,18,18,9,6,13,15,30,7,20,23,21,20,15,20,24,13,17,9,16,15,26,19,26,21,11,18,22,16,15,12,18,15,33,19,32,19,11,34,14,11,30,27,18,15,12,7,9,21,14,18,18,34,19,19,0,12,17,33,26,29,9,19,17,35,11,23,23,20,21,22,15,12,0
73,,24,12,-,,24,1,26,12,23,16,21,6,21,11,9,28,9,12,18,10,12,13,19,13,9,14,12,14,15,16,14,23,22,10,12,11,14,13,13,19,23,16,21,27,20,29,23,15,22,10,10,12,21,22,21,42,27,14,25,17,2,10,27,21,20,28,12,9,33,13,18,15,15,24,28,16,26,9,15,8,10,15,12,11,26,34,14,0,13,20,22,32,29,30,12,32,13,36,58,75,0,40,8,49,17,22,28,14,22,13,17,17,26,23,19,11,9,14,12,20,20,10,23,15,13,6,6,11,7,19,18,12,13,15,29,38,20,9,15,11,23,28,5,35,34,21,22,20,16,16,12,16,12,9,12,16,21,26,23,11,24,29,34,23,18,18,24,29,20,28,35,23,38,24,12,28,38,27,27,9,9,24,29,18,24,24,34,31,31,0,28,28,21,24,23,11,25,19,49,11,31,28,14,25,28,14,7,0
74,,23,12,-,,23,1,31,20,31,17,16,4,18,3,17,20,9,17,20,8,7,12,22,11,12,18,17,18,19,10,14,19,21,17,17,12,11,9,9,32,28,24,20,20,17,16,17,7,15,10,16,16,21,28,28,38,27,17,22,10,0,14,17,28,17,13,16,9,34,18,41,16,22,25,21,18,15,19,13,15,16,11,7,12,28,19,17,0,16,10,13,26,43,46,19,31,11,27,43,96,0,41,14,56,21,20,23,21,14,27,20,18,21,23,23,12,9,15,12,23,24,11,17,6,10,8,8,10,1,23,18,20,9,15,18,19,20,16,7,8,18,27,10,19,26,18,18,12,19,23,14,19,13,16,10,15,26,29,26,11,22,28,39,24,14,22,14,23,15,21,22,20,36,34,8,32,39,26,17,14,11,18,23,13,21,24,39,32,24,1,17,21,29,22,25,4,27,14,50,15,27,25,24,24,20,22,2,0
75,,22,12,-,,22,1,30,10,25,20,18,9,16,9,11,17,8,21,19,9,9,15,21,14,19,18,22,24,11,19,14,18,18,6,9,17,16,19,15,29,20,17,14,18,25,16,16,16,23,4,13,14,17,26,23,31,18,9,22,12,1,13,23,28,17,9,16,8,33,16,19,21,31,12,20,19,22,21,13,3,13,19,8,20,20,32,15,0,13,13,12,24,19,29,16,27,14,26,50,72,0,41,12,47,21,25,20,16,13,12,17,17,20,28,14,13,13,12,13,20,26,8,26,10,14,5,6,18,8,15,20,23,5,18,25,27,13,21,10,14,14,35,9,33,30,22,13,9,14,15,13,21,18,14,9,22,16,35,30,14,19,30,33,18,14,25,20,22,18,25,22,29,26,19,4,25,26,17,21,11,8,16,17,13,26,32,36,21,29,1,17,14,22,25,20,9,25,17,56,15,15,24,24,25,27,11,6,0
76,,21,12,-,,21,1,18,5,9,10,11,7,12,3,3,7,7,7,11,5,10,7,14,12,7,4,11,8,7,9,12,13,18,2,7,4,10,4,6,16,12,12,15,8,9,13,16,14,8,5,3,7,11,11,9,17,12,3,18,6,0,8,4,17,11,7,8,7,29,6,13,13,9,15,12,21,16,8,6,0,6,11,4,9,21,7,7,0,9,17,9,17,16,25,12,19,14,16,26,49,0,28,6,29,16,16,19,8,7,15,9,14,18,17,13,4,2,17,3,21,17,15,9,4,7,3,12,3,5,13,9,13,4,14,15,15,9,11,6,6,11,14,7,16,23,12,18,11,23,13,10,4,11,16,11,14,20,24,26,3,11,28,28,18,13,4,9,20,13,9,18,18,30,14,4,16,24,18,13,10,9,11,17,13,17,18,29,16,24,0,8,17,18,11,11,4,24,15,23,12,24,15,7,18,13,12,10,0
77,,20,12,-,,20,1,9,11,19,7,4,7,12,3,4,10,5,4,14,4,7,7,13,7,6,8,6,8,4,11,6,15,5,13,4,5,4,7,3,16,20,14,8,10,8,9,12,6,13,6,5,13,15,9,12,21,12,5,9,8,2,3,10,13,8,15,8,7,17,12,16,14,12,9,10,11,11,11,6,8,11,6,5,6,15,24,10,0,7,12,9,12,7,18,18,20,7,20,24,38,0,27,11,24,14,18,8,9,10,20,14,7,16,16,14,4,3,12,11,16,15,7,8,5,11,4,4,6,4,9,5,18,6,11,15,18,9,4,4,9,6,17,8,22,15,15,6,8,7,5,6,9,4,5,3,6,9,17,21,3,13,21,19,8,11,14,7,18,11,13,19,16,16,11,4,14,15,17,15,16,9,7,8,14,13,19,13,17,15,0,4,8,15,14,8,5,15,13,29,7,18,14,14,10,14,8,3,0
78,,19,12,-,,19,1,13,8,16,14,8,5,15,6,10,11,12,10,13,4,9,10,9,12,7,8,11,8,9,6,11,10,11,6,7,6,4,3,6,17,15,12,12,16,12,14,16,6,13,8,7,13,10,18,8,17,17,6,22,10,1,4,13,11,6,9,5,3,17,9,14,14,12,15,13,17,9,12,12,10,7,8,6,6,16,18,11,0,5,13,11,13,19,23,21,30,10,22,15,34,0,23,7,43,18,14,14,10,16,14,24,18,24,15,9,5,5,14,14,15,15,8,12,3,13,3,5,2,7,7,7,12,7,9,20,19,9,11,4,11,13,21,8,16,17,18,10,13,10,12,6,12,4,12,7,14,12,19,23,6,15,16,22,11,13,12,11,13,14,21,12,14,11,15,5,19,32,16,11,11,12,12,10,10,12,15,26,28,21,0,12,14,14,15,20,6,14,13,23,8,16,17,6,13,12,10,6,0
79,,18,12,-,,18,1,10,8,21,11,11,4,9,6,11,14,8,9,10,8,3,4,9,6,7,9,14,7,12,6,5,13,13,6,4,11,12,3,6,18,20,12,14,14,13,11,12,11,11,4,7,11,13,13,15,16,13,19,11,11,0,9,11,25,12,14,9,6,21,10,16,10,15,19,18,17,11,7,13,10,3,17,5,11,12,14,5,0,11,16,9,12,26,24,24,26,10,21,34,38,0,22,7,38,21,25,19,9,20,20,21,9,14,28,17,9,3,11,12,11,14,12,18,7,11,4,7,9,8,9,5,9,8,12,21,17,7,11,6,11,12,9,8,21,13,26,14,13,15,20,6,13,6,9,6,13,16,16,29,8,16,11,21,12,12,20,13,29,13,16,21,12,17,15,7,17,28,19,17,8,10,18,9,13,24,12,23,13,30,1,8,14,20,15,15,7,17,14,27,5,23,16,18,16,10,15,5,0
80,,17,12,-,,17,1,18,7,10,6,14,6,11,2,6,9,3,5,8,3,5,9,14,11,6,7,18,8,4,7,13,14,9,6,10,9,10,8,5,4,17,16,10,12,16,16,11,6,7,3,6,7,18,11,19,15,12,15,10,10,0,6,12,18,13,13,9,4,24,6,19,8,12,18,18,28,9,15,6,8,8,13,7,9,17,16,10,0,8,11,13,21,15,35,14,21,10,19,31,34,0,12,7,19,14,23,12,15,15,17,20,13,24,16,9,6,2,15,11,16,6,8,7,5,12,2,5,7,8,5,7,9,4,11,21,17,11,9,4,13,9,14,6,16,18,22,12,8,13,10,6,9,5,11,6,14,11,17,22,10,14,21,17,14,13,15,20,26,15,13,23,9,20,16,7,25,21,22,18,9,5,15,15,9,19,23,29,24,16,0,9,10,11,11,18,9,14,17,19,8,22,24,11,15,13,15,5,1
81,,16,12,-,,16,1,12,10,15,10,10,10,8,4,6,8,6,11,6,10,8,4,10,3,8,5,18,13,6,9,5,10,10,6,8,9,8,6,9,15,17,13,14,24,11,8,17,6,4,3,5,12,14,18,9,17,17,6,14,4,0,3,13,23,12,10,10,4,14,13,14,19,19,19,14,21,14,8,9,9,9,12,3,6,11,19,3,0,10,10,4,19,9,22,11,18,11,19,30,38,0,22,5,21,20,15,9,12,13,11,20,8,7,18,10,8,3,9,12,18,19,6,11,5,8,5,4,5,3,13,9,13,3,6,22,10,14,8,4,13,14,17,5,19,16,17,13,10,14,7,10,7,4,13,8,11,15,18,18,11,15,16,21,19,20,13,15,24,12,16,11,11,20,10,5,24,26,25,10,8,8,12,12,16,13,21,26,26,19,0,7,14,13,11,12,5,25,8,25,14,14,25,8,12,14,9,2,0
82,,15,12,-,,15,1,13,10,15,4,7,4,9,6,3,11,7,4,7,7,4,2,6,4,3,12,14,11,6,6,6,11,11,6,2,7,1,4,4,6,16,15,13,12,9,11,8,4,14,2,4,8,16,16,11,7,8,4,4,5,1,3,8,13,6,10,7,8,12,6,12,11,7,15,11,23,15,11,2,8,10,14,6,15,10,17,6,0,5,14,7,12,14,17,18,19,10,21,23,25,0,18,10,19,23,23,5,9,17,19,12,14,14,12,13,7,7,12,7,15,7,8,8,3,9,3,4,4,6,6,8,12,6,13,21,7,6,8,4,12,11,15,5,12,12,9,10,12,9,12,2,10,4,15,8,12,11,18,21,9,7,19,18,10,11,13,14,19,17,16,17,17,11,12,9,23,27,24,14,10,14,4,13,9,17,23,24,15,19,0,5,14,14,10,11,2,6,8,23,6,15,13,10,8,12,8,3,0
83,,14,12,-,,14,1,12,6,11,8,8,2,9,6,5,7,7,4,13,7,2,4,7,6,5,7,7,7,6,6,5,8,5,3,6,2,7,2,7,4,11,8,7,9,9,13,7,6,11,2,3,14,8,11,5,13,8,3,6,6,0,7,7,15,8,3,3,2,14,6,10,7,6,11,11,20,7,7,6,5,10,4,2,4,13,6,8,0,5,8,7,10,16,22,10,18,8,9,28,33,0,18,3,14,14,9,6,8,8,12,16,8,6,10,5,3,1,8,8,8,13,5,7,4,6,3,3,4,5,10,4,12,5,7,18,7,8,6,3,9,13,12,7,9,20,19,8,11,5,7,3,8,9,9,9,8,8,12,17,1,9,12,14,7,8,8,12,16,8,20,16,14,16,7,2,16,17,12,23,6,12,13,9,12,14,19,24,23,20,0,4,10,10,17,13,4,13,5,24,3,7,16,10,11,11,14,3,0
84,,13,12,-,,13,1,8,7,8,2,7,1,8,2,7,5,6,5,3,2,4,4,9,3,5,6,7,4,4,5,7,7,1,3,6,5,10,3,3,13,12,11,11,9,7,2,4,9,7,3,3,5,10,8,9,12,12,5,5,2,1,4,10,10,4,9,3,3,23,9,9,3,9,14,6,13,9,12,4,7,3,10,1,7,12,6,4,0,6,12,6,12,12,20,13,15,5,7,10,26,0,13,5,13,16,7,7,3,3,9,11,9,11,10,7,6,2,6,11,11,9,4,8,1,3,2,7,4,6,6,6,15,5,4,9,7,4,7,6,5,8,8,3,12,15,15,6,8,8,9,7,4,6,8,4,10,3,15,18,7,10,14,17,11,2,6,16,19,10,25,7,6,14,6,5,11,21,10,9,9,10,7,7,6,12,11,25,27,15,0,6,14,11,9,9,6,14,8,19,4,10,12,17,5,11,3,3,0
85,,12,12,-,,12,1,14,7,11,7,3,4,7,2,6,6,3,3,10,2,3,7,3,2,4,3,7,6,4,9,1,7,12,5,2,3,1,5,3,11,8,10,6,9,9,12,7,6,4,0,4,6,11,13,15,10,8,4,7,3,0,5,5,10,11,7,6,6,14,11,15,7,9,12,11,19,7,8,5,6,6,10,1,7,4,11,7,0,3,11,4,7,19,12,11,11,8,20,19,16,0,13,5,14,11,19,4,8,9,12,8,6,15,14,7,5,6,10,0,12,10,4,7,3,6,2,3,6,4,10,7,7,6,7,19,12,6,5,4,8,9,11,6,11,17,16,5,7,9,12,12,5,6,9,4,10,8,14,10,6,5,15,16,12,7,12,15,13,12,17,12,9,26,6,6,17,21,20,6,7,11,3,16,11,14,15,23,15,12,0,9,12,13,11,6,7,8,7,18,8,11,11,8,12,16,4,4,1
86,,11,12,-,,11,1,10,4,11,9,7,1,3,3,2,9,7,4,10,5,2,3,7,2,5,3,8,2,4,10,5,4,7,6,3,2,2,2,10,8,10,12,13,6,7,5,6,3,4,3,8,4,10,17,9,12,13,6,4,4,0,4,12,7,4,8,10,2,12,4,9,10,10,10,9,18,15,11,6,6,6,12,2,5,6,12,4,0,6,13,8,12,15,14,10,12,12,12,23,31,0,13,3,13,14,9,4,11,5,13,11,4,10,13,11,4,1,10,10,9,16,7,3,4,5,2,8,5,6,7,9,13,5,10,19,12,5,5,3,5,8,6,9,9,19,13,10,6,13,7,3,4,4,4,3,7,2,15,9,4,11,17,18,8,3,11,17,19,9,13,13,9,28,13,8,22,19,13,8,6,2,6,6,10,13,11,25,13,16,0,3,6,9,13,6,2,9,5,19,4,8,9,10,11,14,10,6,1
87,,10,12,-,,10,1,9,11,9,8,9,2,3,0,5,4,5,0,4,4,7,4,7,5,5,1,8,9,6,3,7,11,3,5,5,6,5,2,2,5,13,9,5,3,4,6,5,2,3,1,3,5,11,8,5,9,11,5,6,3,0,5,5,8,8,8,7,4,13,7,13,9,8,14,2,10,7,8,5,9,3,10,7,6,11,9,5,0,3,7,5,10,11,17,10,14,6,5,9,17,0,7,3,16,6,12,8,7,6,9,8,4,7,6,8,4,0,8,8,9,4,4,4,1,5,3,2,2,6,6,1,10,4,11,10,12,2,7,1,4,4,7,7,11,13,11,6,12,6,6,4,7,3,2,5,10,9,10,16,6,6,8,22,6,11,6,11,20,8,11,6,9,15,10,7,22,20,6,9,9,9,8,7,14,7,14,23,19,16,0,5,5,8,7,6,3,18,8,18,5,7,10,10,14,11,8,4,1
88,,9,12,-,,9,1,6,5,7,8,4,2,3,4,1,5,4,6,7,3,1,5,5,6,1,3,3,5,1,2,2,4,1,1,0,4,3,1,4,3,6,6,3,11,7,4,4,5,4,4,5,4,5,4,6,4,8,4,4,7,0,6,2,8,1,11,6,3,18,10,8,5,9,8,4,7,7,4,4,3,3,4,0,3,6,5,5,0,2,3,4,9,10,6,12,14,7,7,8,20,0,12,3,4,8,8,5,6,9,7,8,3,8,6,13,0,4,5,3,10,5,6,8,5,2,3,2,2,4,8,6,9,5,3,17,7,4,1,3,1,5,8,3,8,10,13,12,10,6,6,1,3,3,2,3,8,7,13,3,2,5,10,8,7,7,4,6,10,1,12,9,10,14,8,3,7,18,11,8,10,4,6,6,7,13,10,16,9,9,0,1,7,8,2,7,1,8,10,16,1,5,11,9,8,12,4,1,0
